,latitude,longitude,Data source,CO2/CO2e emissions source,CO2/CO2e emissions (in tonnes per year),CO2 or CO2e
292,-33.9253,18.4239,Opendatasoft,City,9783734.0,CO2e
293,29.9511,-90.0715,Opendatasoft,City,2419891.0,CO2e
294,35.9606,-83.9207,Opendatasoft,City,2061435.0,CO2e
297,46.5198,6.6335,Opendatasoft,City,456843.0,CO2
298,41.913028000000004,12.518037,Opendatasoft,City,11115.0,CO2
299,38.6270025,-90.1994042,Opendatasoft,City,2481945.42,CO2e
301,-22.808027,-45.19422,Opendatasoft,City,497634.0,CO2e
302,55.676096799999996,12.568337099999999,Opendatasoft,City,,CO2e
303,44.475882500000004,-73.21207199999999,Opendatasoft,City,368077.0,CO2
304,52.08889,11.586164,Opendatasoft,City,,CO2
305,37.6808,-122.4,Opendatasoft,City,,CO2e
307,26.661763,-80.268357,Opendatasoft,City,621179.0,CO2e
308,38.6682,-90.3325,Opendatasoft,City,266265.0,CO2e
309,40.12408,-75.119511,Opendatasoft,City,193345.0,CO2e
310,64.12652,-21.817439999999998,Opendatasoft,City,346630.0,CO2e
311,40.7127837,-74.00594129999999,Opendatasoft,City,38962264.0,CO2e
316,-15.794229000000001,-47.882166,Opendatasoft,City,7739830.0,CO2e
320,-16.5,-68.15,Opendatasoft,City,1152922.4,CO2e
321,55.733461,12.488686,Opendatasoft,City,247599.0,CO2e
322,36.169941200000004,-115.13982959999998,Opendatasoft,City,11002924.999999998,CO2
323,35.4437078,139.6380256,Opendatasoft,City,12572000.000000002,CO2e
324,38.544907,-121.740517,Opendatasoft,City,348437.0,CO2e
326,52.370216,4.895168,Opendatasoft,City,2161000.0,CO2
328,37.2296,-80.4139,Opendatasoft,City,124461.79,CO2e
330,-23.4774899,-47.4220615,Opendatasoft,City,980290.0,CO2e
332,42.258634,-87.840625,Opendatasoft,City,,CO2e
335,33.7489954,-84.3879824,Opendatasoft,City,3548215.0,CO2e
336,32.718146000000004,-117.1701,Opendatasoft,City,,CO2e
339,52.480174,-1.902907,Opendatasoft,City,,CO2
340,40.037875,-76.305514,Opendatasoft,City,364183.0,CO2e
341,37.8044,-122.2708,Opendatasoft,City,956414.0,CO2e
1,40.6943,-73.9249,Simplemaps,City,,
3,19.017,72.857,Simplemaps,City,,
4,-23.5587,-46.625,Simplemaps,City,,
5,28.67,77.23,Simplemaps,City,,
6,31.2165,121.4365,Simplemaps,City,,
7,22.495,88.3247,Simplemaps,City,,
9,23.7231,90.4086,Simplemaps,City,,
11,24.87,66.99,Simplemaps,City,,
12,30.05,31.25,Simplemaps,City,,
14,34.75,135.4601,Simplemaps,City,,
15,39.9289,116.3883,Simplemaps,City,,
16,14.6042,120.9822,Simplemaps,City,,
17,55.7522,37.6155,Simplemaps,City,,
18,41.105,29.01,Simplemaps,City,,
23,23.145,113.325,Simplemaps,City,,
25,51.5,-0.1167,Simplemaps,City,,
27,35.6719,51.4243,Simplemaps,City,,
28,-4.3297,15.315,Simplemaps,City,,
30,22.5524,114.1221,Simplemaps,City,,
31,30.58,114.27,Simplemaps,City,,
33,39.13,117.2,Simplemaps,City,,
34,13.09,80.28,Simplemaps,City,,
35,25.0358,121.5683,Simplemaps,City,,
36,12.97,77.56,Simplemaps,City,,
37,13.75,100.5166,Simplemaps,City,,
38,31.56,74.35,Simplemaps,City,,
39,29.565,106.595,Simplemaps,City,,
40,25.7839,-80.2102,Simplemaps,City,,
41,17.4,78.48,Simplemaps,City,,
48,23.0301,72.58,Simplemaps,City,,
49,10.78,106.695,Simplemaps,City,,
50,38.9047,-77.0163,Simplemaps,City,,
53,1.293,103.8558,Simplemaps,City,,
54,-8.8383,13.2344,Simplemaps,City,,
