,City name,Country,Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,City location (CDP) [degrees],Population (CDP),Population year (CDP),latitude,longitude
63,Durban,South Africa,11681810.0,CDP,tCO2-eq,2014,"-29.8586804,31.0218404",3555868.0,2015.0,-29.8586804,31.0218404
65,Iowa,USA,590282.0,CDP,tCO2-eq,2013,"41.6611,-91.5302",73415.0,2015.0,41.6611,-91.5302
66,Flagstaff,USA,621293.07,CDP,tCO2,2014,"35.1992,-111.6311",68667.0,2013.0,35.1992,-111.6311
70,"Portland, OR",USA,4610317.0,CDP,tCO2-eq,2014,"45.52,-122.6819",619360.0,2014.0,45.52,-122.6819
74,Chicago,USA,16951471.0,CDP,tCO2-eq,2015,"41.8781136,-87.6297982",2720546.0,2015.0,41.8781136,-87.62979820000001
75,Buenos Aires,Argentina,15561156.999999998,CDP,tCO2-eq,2014,"-34.6037232,-58.3815931",3054267.0,2015.0,-34.603723200000005,-58.381593099999996
76,Recife,Brazil,1333830.0,CDP,tCO2-eq,2015,"-8.057838,-34.882897",1625583.0,2016.0,-8.057838,-34.882897
77,Stockholm,Sweden,1834343.0,CDP,tCO2-eq,2015,"59.3293235,18.0685808",923516.0,2015.0,59.3293235,18.068580800000003
78,Boston,USA,3603270.0,CDP,tCO2-eq,2014,"42.3584308,-71.0597732",646000.0,2013.0,42.358430799999994,-71.05977320000001
79,Nashville and Davidson,USA,6680194.0,CDP,tCO2-eq,2014,"36.1627,-86.7816",678889.0,2015.0,36.1627,-86.7816
80,Denver,USA,4557000.0,CDP,tCO2-eq,2014,"39.737567,-104.9847179",663862.0,2014.0,39.737567,-104.9847179
82,Lagos,Nigeria,29426266.0,CDP,tCO2-eq,2014,"6.524379,3.379206",21000000.0,2016.0,6.524379,3.379206
83,Canberra,Australia,1757500.0,CDP,tCO2-eq,2015,"-35.3075,149.1244",400000.0,2016.0,-35.3075,149.1244
84,Minneapolis,USA,2890572.0,CDP,tCO2-eq,2014,"44.983334,-93.26667",407207.0,2014.0,44.983334,-93.26666999999999
86,Jakarta,Indonesia,,CDP,tCO2-eq,2014,"-6.2087634,106.845599",10075300.0,2015.0,-6.2087634000000005,106.84559899999999
90,Durham,USA,1973070.0,CDP,tCO2-eq,2015,"35.994,-78.8986",250815.0,2015.0,35.994,-78.8986
92,Philadelphia,USA,12397594.06,CDP,tCO2-eq,2012,"39.952335,-75.163789",1560297.0,2014.0,39.952335,-75.16378900000001
94,Curitiba,Brazil,2686488.0,CDP,tCO2-eq,2013,"-25.431063,-49.264693",1751907.0,2010.0,-25.431063,-49.264693
95,Melbourne,Australia,785326.0,CDP,tCO2-eq,2015,"-37.814107,144.96328",137889.0,2016.0,-37.814107,144.96328
97,Tucson,USA,2571089.0,CDP,tCO2-eq,2012,"32.2217,-110.9265",529845.0,2015.0,32.2217,-110.9265
100,Savannah,USA,2381327.0,CDP,tCO2-eq,2014,"32.0835,-81.0998",145674.0,2015.0,32.0835,-81.0998
101,Aspen and Pitkin County,USA,,CDP,tCO2-eq,2014,"39.195,-106.837",8427.0,2010.0,39.195,-106.837
103,Águeda,Portugal,,CDP,tCO2-eq,2013,"40.575302,-8.445822",47729.0,2011.0,40.575302,-8.445822
104,Benicia,USA,,CDP,tCO2-eq,2010,"38.049365,-122.1585777",27450.0,2014.0,38.049365,-122.1585777
105,"Ajax, ON",Canada,6354.0,CDP,tCO2,2008,"43.850855,-79.020373",109600.0,2011.0,43.850854999999996,-79.02037299999999
109,North Vancouver,Canada,182896.0,CDP,tCO2-eq,2015,"49.32699,-123.07328",52898.0,2016.0,49.32699,-123.07328000000001
111,"London, ON",Canada,2771000.0,CDP,tCO2-eq,2014,"42.9837,-81.2497",375000.0,2014.0,42.9837,-81.2497
112,Torino,Italy,,CDP,tCO2,2014,"45.1006374,7.6680046",898714.0,2014.0,45.100637400000004,7.668004600000001
113,Yilan,Taiwan,6911264.55,CDP,tCO2-eq,2013,"24.702107,121.73775",458777.0,2014.0,24.702107,121.73775
114,Lahti,Finland,717200.0,CDP,tCO2-eq,2015,"60.9833,25.65",119452.0,2016.0,60.9833,25.65
115,Hiroshima,Japan,,CDP,tCO2-eq,2014,"34.385203,132.455293",1191030.0,2015.0,34.385203000000004,132.45529299999998
116,Belo Horizonte,Brazil,2804787.0,CDP,tCO2-eq,2013,"-19.916681,-43.934493",2502557.0,2015.0,-19.916681,-43.934492999999996
118,Turku,Finland,421200.0,CDP,tCO2-eq,2013,"60.4518126,22.2666303",186000.0,2015.0,60.451812600000004,22.266630300000003
119,Venezia,Italy,955471.0,CDP,tCO2,2005,"45.4332515,12.3210704",263104.0,2016.0,45.433251500000004,12.3210704
121,Paris,France,3359242.0,CDP,tCO2-eq,2014,"48.856614,2.3522219",2265886.0,2015.0,48.856614,2.3522218999999995
124,Lakewood,USA,553900.0,CDP,tCO2-eq,2007,"39.7047,-105.0814",149643.0,2014.0,39.7047,-105.0814
125,Hjørring,Denmark,289000.0,CDP,tCO2,2014,"57.456779,9.995764",65308.0,2016.0,57.456779000000004,9.995764
131,Calgary,Canada,10448332.0,CDP,tCO2-eq,2015,"51.048615,-114.070846",1203915.0,2015.0,51.048615000000005,-114.070846
132,Hoeje-Taastrup Kommune,Denmark,173000.0,CDP,tCO2,2014,"55.656328,12.2898",50002.0,2016.0,55.656328,12.2898
133,Yonkers,USA,982940.0,CDP,tCO2,2010,"40.9414,-73.8644",199766.0,2013.0,40.9414,-73.8644
134,Taipei City,Taiwan,6493593.0,CDP,tCO2-eq,2014,"25.037525,121.563782",2704810.0,2015.0,25.037525,121.563782
135,Bournemouth,United Kingdom,350775.0,CDP,tCO2,2013,"50.719164,-1.880769",191400.0,2015.0,50.719164,-1.880769
136,Florianópolis,Brazil,1305206.0,CDP,tCO2-eq,2013,"-27.5949884,-48.5481743",550000.0,2010.0,-27.594988399999995,-48.54817429999999
140,"Emeryville, CA",USA,127138.0,CDP,tCO2-eq,2014,"37.831316,-122.285247",10570.0,2014.0,37.831315999999994,-122.285247
143,Pingtung,Taiwan,2768427.4,CDP,tCO2-eq,2013,"22.551976,120.54876",835792.0,2016.0,22.551976,120.54876000000002
147,Nice,France,,CDP,tCO2-eq,2010,"43.710173,7.261953",550000.0,2015.0,43.710173,7.261953
149,"Alton, IL",USA,138542.0,CDP,tCO2-eq,2013,"38.890604,-90.184276",26581.0,2015.0,38.890603999999996,-90.184276
153,Mexico City,Mexico,16842493.45,CDP,tCO2-eq,2014,"19.4326077,-99.133208",8874724.0,2014.0,19.4326077,-99.133208
154,Aarhus,Denmark,,CDP,tCO2,2016,"56.168393,10.137373",320000.0,2016.0,56.168393,10.137373
155,Bogotá,Colombia,10679585.14,CDP,tCO2-eq,2015,"4.598056,-74.075833",7878783.0,2015.0,4.598056,-74.07583299999999
157,Eugene,USA,1106250.0,CDP,tCO2-eq,2015,"44.0519,-123.0867",151190.0,2013.0,44.0519,-123.0867
159,"Peterborough, ON",Canada,,CDP,tCO2-eq,2011,"44.309058,-78.319747",78698.0,2011.0,44.309058,-78.31974699999999
160,Okayama,Japan,114000.0,CDP,tCO2-eq,2013,"34.655146,133.919502",705917.0,2015.0,34.655146,133.919502
161,Auckland,New Zealand,9133523.0,CDP,tCO2-eq,2013,"-36.815328,174.741788",1569900.0,2015.0,-36.815328,174.74178799999999
163,"Piedmont, CA",USA,17876.0,CDP,tCO2-eq,2011,"37.8244,-122.2316",11082.0,2013.0,37.8244,-122.2316
164,Cascais,Portugal,565382.0,CDP,tCO2,2010,"38.6970565,-9.4222945",208122.0,2014.0,38.6970565,-9.422294500000001
165,Roma,Italy,,CDP,tCO2,2010,"41.8723889,12.4801802",2868347.0,2015.0,41.8723889,12.4801802
167,Detroit,USA,5520240.0,CDP,tCO2-eq,2012,"42.331427,-83.0457538",688701.0,2013.0,42.331427000000005,-83.0457538
169,Greater London,United Kingdom,20620000.0,CDP,tCO2-eq,2013,"51.504858,-0.078689",8600000.0,2015.0,51.504858,-0.078689
170,Adelaide,Australia,63724.0,CDP,tCO2-eq,2013,"-34.928499,138.600746",23169.0,2015.0,-34.928499,138.600746
171,Pittsburgh,USA,2073556.0,CDP,tCO2-eq,2013,"40.4406248,-79.9958864",305704.0,2016.0,40.440624799999995,-79.9958864
181,Athens,Greece,1260355.0,CDP,tCO2-eq,2014,"37.98381,23.727539",664046.0,2011.0,37.98381,23.727539
182,"Hamilton, ON",Canada,6304593.0,CDP,tCO2-eq,2012,"43.250021,-79.866091",519949.0,2011.0,43.250021000000004,-79.866091
184,Montreal,Canada,13634331.0,CDP,tCO2-eq,2009,"45.5086699,-73.5539925",1886481.0,2011.0,45.508669899999994,-73.5539925
187,Leicester,United Kingdom,,CDP,tCO2,2013,"52.6333,-1.1333",333812.0,2013.0,52.6333,-1.1333
189,Quito,Ecuador,4653611.0,CDP,tCO2-eq,2011,"-0.2333,-78.5167",2239191.0,2010.0,-0.2333,-78.5167
194,Johannesburg,South Africa,9068358.0,CDP,tCO2-eq,2014,"-26.2041028,28.0473051",4764381.0,2015.0,-26.2041028,28.047305100000003
195,Caracas,Venezuela,14364103.0,CDP,tCO2-eq,2015,"10.4696404,-66.8037185",3518590.0,2015.0,10.469640400000001,-66.8037185
197,Palo Alto,USA,152631.0,CDP,tCO2-eq,2015,"37.4419,-122.143",66955.0,2015.0,37.4419,-122.14299999999999
198,Zaragoza,Spain,1175162.74,CDP,tCO2,2014,"41.608629,-0.887012",661108.0,2015.0,41.608629,-0.8870120000000001
199,Suwon,South Korea,3670140.0,CDP,tCO2-eq,2013,"37.2635727,127.0286009",1221973.0,2015.0,37.263572700000005,127.02860090000001
200,Bornova,Turkey,,CDP,tCO2-eq,2011,"35.2141598,33.2947541",416007.0,2012.0,35.2141598,33.294754100000006
201,Nagoya,Japan,7690000.0,CDP,tCO2-eq,2013,"35.181446,136.906398",2274511.0,2015.0,35.181446,136.906398
202,Kadiovacik,Turkey,404.65,CDP,tCO2,2015,"38.3434574,26.553613",216.0,2016.0,38.3434574,26.553613000000002
205,Winnipeg,Canada,5167453.0,CDP,tCO2-eq,1998,"49.8997541,-97.1374937",718400.0,2015.0,49.8997541,-97.13749370000001
206,Cleveland,USA,7750563.0,CDP,tCO2-eq,2010,"41.49932,-81.6943605",396815.0,2010.0,41.499320000000004,-81.6943605
208,Dublin,Ireland,,CDP,tCO2,2011,"53.344479,-6.270843",527612.0,2011.0,53.34447900000001,-6.270843
210,"Hermosa Beach, CA",USA,123218.0,CDP,tCO2-eq,2012,"33.8622,-118.3995",19750.0,2015.0,33.8622,-118.3995
215,Boulder,USA,741287.0,CDP,tCO2-eq,2012,"40.0274,-105.2519",104810.0,2015.0,40.0274,-105.2519
218,Dallas,USA,119881.0,CDP,tCO2-eq,2010,"32.7801399,-96.8004511",1257676.0,2013.0,32.780139899999995,-96.80045109999999
222,Rio de Janeiro,Brazil,16171533.999999998,CDP,tCO2-eq,2012,"-22.9054389,-43.5614471",6476631.0,2015.0,-22.9054389,-43.5614471
225,Cardiff,United Kingdom,,CDP,tCO2,2013,"51.481581,-3.17909",354300.0,2014.0,51.481581,-3.17909
226,"Windsor, ON",Canada,2475703.0,CDP,tCO2-eq,2014,"42.314937,-83.036363",210891.0,2011.0,42.314937,-83.036363
227,Vilnius,Lithuania,1994560.0,CDP,tCO2-eq,2013,"54.687156,25.279651",542626.0,2015.0,54.68715600000001,25.279651
228,Seoul,South Korea,25082520.0,CDP,tCO2-eq,2013,"37.566535,126.9779692",10297137.999999998,2015.0,37.566534999999995,126.9779692
229,Zürich,Switzerland,,CDP,tCO2-eq,2014,"47.3686498,8.5391825",404783.0,2014.0,47.36864979999999,8.539182499999999
231,Amman,Jordan,3322603.0,CDP,tCO2-eq,2014,"31.945367,35.928372",3604459.0,2015.0,31.945366999999997,35.928371999999996
232,"Arlington, VA",USA,1257464.0,CDP,tCO2-eq,2015,"37.226486,-76.002594",216700.0,2015.0,37.226486,-76.00259399999999
234,Helsinki,Finland,2096206.0,CDP,tCO2-eq,2014,"60.1733244,24.9410248",612664.0,2014.0,60.17332439999999,24.9410248
235,Lima,Peru,12378734.0,CDP,tCO2-eq,2012,"-12.046374,-77.042793",8755262.0,2014.0,-12.046374,-77.042793
236,Edmonton,Canada,10215142.0,CDP,tCO2-eq,2014,"53.544389,-113.4909267",878000.0,2014.0,53.544389,-113.4909267
239,San Francisco,USA,4186111.0,CDP,tCO2-eq,2012,"37.7749295,-122.4194155",864816.0,2015.0,37.7749295,-122.4194155
241,Salvador,Brazil,3242166.0,CDP,tCO2-eq,2013,"-12.97304,-38.502304",2902927.0,2014.0,-12.97304,-38.502303999999995
242,Indianapolis,USA,726155.11,CDP,tCO2,2013,"39.767625,-86.178469",853000.0,2015.0,39.767625,-86.17846899999999
243,Bogor,Indonesia,954020.0,CDP,tCO2-eq,2014,"-6.597147,106.806039",1047922.0,2015.0,-6.5971470000000005,106.80603899999998
244,Torres Vedras,Portugal,,CDP,tCO2,2009,"38.763669,-9.30148",79465.0,2011.0,38.763669,-9.30148
248,Santiago,Chile,23120027.8,CDP,tCO2-eq,2013,"-33.44889,-70.669265",7314176.0,2015.0,-33.448890000000006,-70.669265
249,Basel,Switzerland,783932.0,CDP,tCO2-eq,2016,"47.5619,7.5928",198206.0,2016.0,47.5619,7.5928
252,Ljubljana,Slovenia,1829808.0,CDP,tCO2-eq,2014,"46.056947,14.505751",288307.0,2016.0,46.056946999999994,14.505751
255,Roanoke,USA,,CDP,tCO2-eq,2015,"37.271,-79.9414",98465.0,2013.0,37.271,-79.9414
257,Oslo,Norway,1094422.0,CDP,tCO2-eq,2013,"59.9138688,10.7522454",658390.0,2016.0,59.913868799999996,10.7522454
258,Addis Ababa,Ethiopia,3708292.0,CDP,tCO2-eq,2012,"9.028874,38.754366",3384569.0,2008.0,9.028874,38.754366
261,Moita,Portugal,49910.0,CDP,tCO2,2013,"41.30284,-8.65731",66029.0,2011.0,41.30284,-8.65731
262,Hong Kong,China,44876460.0,CDP,tCO2-eq,2014,"22.2880809,114.1398015",7336600.0,2016.0,22.288080899999997,114.13980149999999
264,Pretoria Tshwane,South Africa,4648959.0,CDP,tCO2-eq,2015,"-25.746111,28.188056",3200000.0,2016.0,-25.746111,28.188056
268,Bologna,Italy,,CDP,tCO2,2009,"44.4856087,11.3547975",386181.0,2014.0,44.48560870000001,11.3547975
270,Lisbon,Portugal,1023910.0,CDP,tCO2,2014,"38.7222524,-9.1393366",547773.0,2011.0,38.722252399999995,-9.1393366
271,Los Altos Hills,USA,47552.0,CDP,tCO2,2015,"37.3797,-122.1375",8334.0,2013.0,37.3797,-122.1375
272,West Hollywood,USA,,CDP,tCO2,2008,"34.09,-118.3617",34399.0,2010.0,34.09,-118.3617
273,Nancy,France,,CDP,tCO2-eq,2016,"48.692054,6.184417",265000.0,2014.0,48.692054,6.184417
274,Goiânia,Brazil,,CDP,tCO2-eq,2010,"-16.6868912,-49.2647943",2173141.0,2010.0,-16.686891199999998,-49.2647943
277,Columbus,USA,5487400.0,CDP,tCO2-eq,2015,"39.9611755,-82.9987942",835957.0,2014.0,39.9611755,-82.9987942
279,Taoyuan,Taiwan,21143194.6,CDP,tCO2-eq,2014,"24.993628,121.30098",2153521.0,2017.0,24.993628,121.30098000000001
281,Vancouver,Canada,2389748.0,CDP,tCO2-eq,2014,"49.261226,-123.1139268",603500.0,2011.0,49.261226,-123.11392679999999
282,Incheon,South Korea,57719912.00000001,CDP,tCO2-eq,2015,"37.456256,126.705206",2983484.0,2015.0,37.456255999999996,126.705206
284,Ferrara,Italy,,CDP,tCO2-eq,2007,"44.8357395,11.6189949",133155.0,2015.0,44.8357395,11.6189949
285,Los Angeles,USA,19595119.0,CDP,tCO2-eq,2013,"34.0522342,-118.2436849",3928864.0,2014.0,34.0522342,-118.24368490000002
286,Santiago de Guayaquil,Ecuador,5429899.0,CDP,tCO2-eq,2014,"-2.170998,-79.922359",2350915.0,2010.0,-2.170998,-79.922359
289,Rotterdam,Netherlands,17840039.0,CDP,tCO2,2016,"51.9163716,4.4509382",624000.0,2014.0,51.9163716,4.4509382
290,New Taipei,Taiwan,6149934.0,CDP,tCO2-eq,2014,"25.0111,121.4458",3966818.0,2014.0,25.0111,121.4458
291,Faro,Portugal,128.0,CDP,tCO2,2010,"37.019355,-7.93044",61214.0,2014.0,37.019355,-7.930439999999999
292,Cape Town,South Africa,9783734.0,CDP,tCO2-eq,2012,"-33.9253,18.4239",3918830.0,2014.0,-33.9253,18.4239
293,New Orleans,USA,2419891.0,CDP,tCO2-eq,2014,"29.9511,-90.0715",389617.0,2015.0,29.9511,-90.0715
294,Knoxville,USA,2061435.0,CDP,tCO2-eq,2012,"35.9606,-83.9207",184281.0,2014.0,35.9606,-83.9207
297,Lausanne,Switzerland,456843.0,CDP,tCO2,2013,"46.5198,6.6335",140000.0,2015.0,46.5198,6.6335
298,Ravenna,Italy,11115.0,CDP,tCO2,2014,"41.913028,12.518037",158911.0,2015.0,41.913028000000004,12.518037
299,St Louis,USA,2481945.42,CDP,tCO2-eq,2014,"38.6270025,-90.1994042",319294.0,2010.0,38.6270025,-90.1994042
301,Guaratinguetá,Brazil,497634.0,CDP,tCO2-eq,2015,"-22.808027,-45.19422",,2015.0,-22.808027,-45.19422
302,Copenhagen,Denmark,,CDP,tCO2-eq,2015,"55.6760968,12.5683371",591481.0,2015.0,55.676096799999996,12.568337099999999
303,Burlington,USA,368077.0,CDP,tCO2,2010,"44.4758825,-73.212072",42284.0,2015.0,44.475882500000004,-73.21207199999999
304,Magdeburg,Germany,,CDP,tCO2,2012,"52.08889,11.586164",238000.0,2015.0,52.08889,11.586164
305,"Brisbane, CA",USA,,CDP,tCO2-eq,2016,"37.6808,-122.4",4603.0,2015.0,37.6808,-122.4
307,Wellington,New Zealand,621179.0,CDP,tCO2-eq,2014,"26.661763,-80.268357",209102.0,2017.0,26.661763,-80.268357
308,"University City, MO",USA,266265.0,CDP,tCO2-eq,2005,"38.6682,-90.3325",35371.0,2010.0,38.6682,-90.3325
309,Abington,USA,193345.0,CDP,tCO2-eq,2010,"40.12408,-75.119511",55310.0,2010.0,40.12408,-75.119511
310,Reykjavík,Iceland,346630.0,CDP,tCO2-eq,2013,"64.12652,-21.81744",122460.0,2015.0,64.12652,-21.817439999999998
311,New York City,USA,38962264.0,CDP,tCO2-eq,2015,"40.7127837,-74.0059413",8537673.0,2016.0,40.7127837,-74.00594129999999
316,Brasília,Brazil,7739830.0,CDP,tCO2-eq,2012,"-15.794229,-47.882166",1409671.0,2015.0,-15.794229000000001,-47.882166
320,La Paz,Bolivia,1152922.4,CDP,tCO2-eq,2012,"-16.5,-68.15",789541.0,2015.0,-16.5,-68.15
321,Gladsaxe Kommune,Denmark,247599.0,CDP,tCO2-eq,2015,"55.733461,12.488686",67347.0,2015.0,55.733461,12.488686
322,Las Vegas,USA,11002924.999999998,CDP,tCO2,2014,"36.1699412,-115.1398296",621970.0,2016.0,36.169941200000004,-115.13982959999998
323,Yokohama,Japan,12572000.000000002,CDP,tCO2-eq,2013,"35.4437078,139.6380256",3719589.0,2015.0,35.4437078,139.6380256
324,"Davis, CA",USA,348437.0,CDP,tCO2-eq,2010,"38.544907,-121.740517",65600.0,2010.0,38.544907,-121.740517
326,Amsterdam,Netherlands,2161000.0,CDP,tCO2,2016,"52.370216,4.895168",822272.0,2015.0,52.370216,4.895168
328,Blacksburg,USA,124461.79,CDP,tCO2-eq,2015,"37.2296,-80.4139",44215.0,2015.0,37.2296,-80.4139
330,Sorocaba,Brazil,980290.0,CDP,tCO2-eq,2012,"-23.4774899,-47.4220615",644919.0,2015.0,-23.4774899,-47.4220615
332,"Lake Forest, IL",USA,,CDP,tCO2-eq,2007,"42.258634,-87.840625",19375.0,2010.0,42.258634,-87.840625
335,Atlanta,USA,3548215.0,CDP,tCO2-eq,2014,"33.7489954,-84.3879824",443775.0,2013.0,33.7489954,-84.3879824
336,San Diego,USA,,CDP,tCO2-eq,2009,"32.718146,-117.1701",1400000.0,2016.0,32.718146000000004,-117.1701
339,Birmingham,United Kingdom,,CDP,tCO2,2013,"52.480174,-1.902907",1101360.0,2014.0,52.480174,-1.902907
340,"Lancaster, PA",USA,364183.0,CDP,tCO2-eq,2016,"40.037875,-76.305514",60000.0,2016.0,40.037875,-76.305514
341,Oakland,USA,956414.0,CDP,tCO2-eq,2015,"37.8044,-122.2708",419000.0,2015.0,37.8044,-122.2708
