sounding_id,latitude,longitude,orbit,slope,intercept,amplitude,sigma,delta,R,windspeed_u,windspeed_v,surface_pressure,tcwv,gCO2_per_s,ktCO2_per_h,date,geometry,index_City,number_City,index_Oil power plant,number_Oil power plant,index_Coal power plant,number_Coal power plant,index_Gas power plant,number_Gas power plant,index_Cement and Lime,number_Cement and Lime,index_Glass,number_Glass,index_Power and heat,number_Power and heat,index_Ceramics,number_Ceramics,index_Pulp and paper,number_Pulp and paper,index_Chemicals,number_Chemicals,index_Iron and steel,number_Iron and steel,index_Combustion,number_Combustion,index_Non ferrous metals,number_Non ferrous metals,index_Mineral oil,number_Mineral oil,index_Coke ovens,number_Coke ovens
2016101904433734,38.095703125,123.02433013916016,12231,0.018668100695740618,405.226469331906,53.8295802443982,15.920214741937695,1.3489074013042088,0.8833131444566459,2.1892194747924805,2.428987979888916,1023.9400024414062,17.707605361938477,2496552.1241506874,8.987587646942474,2016-10-19 04:43:37.340,"POLYGON ((123.4652915896634 38.40760824042054, 123.003278099577 38.56251808340691, 120.6749619094027 38.33139011422768, 121.2973658595809 36.83182522117379, 123.1059526870829 36.22803680486559, 123.6091960339163 38.0294609420446, 123.4652915896634 38.40760824042054))",[nan],0,[nan],0,[2942.0],1,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016101906222375,41.96792221069336,100.87964630126952,12232,-0.007587074776120895,400.6100440192276,30.65615006160327,11.029615638454397,1.108835957190105,0.6247798297705732,-8.299094200134277,1.6158864498138428,899.2022705078125,6.881217002868652,3147380.8588635414,11.330571091908748,2016-10-19 06:22:23.750,"POLYGON ((101.0351187474379 41.36629039403473, 101.5946049322647 41.66876415898039, 103.0096343917983 43.85360133542212, 100.2270019290721 44.37158144964595, 97.9528543672309 43.11857531301453, 100.3669161222933 41.49040416630815, 101.0351187474379 41.36629039403473))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016102020142575,30.1125431060791,-107.4514389038086,12255,0.007281422570584566,401.16167971021963,5.6462377664272765,2.0944042531533373,1.0754957963992808,0.5189743288805954,-5.91679573059082,-0.7200387716293335,862.248291015625,14.03205394744873,440453.2131374054,1.5856315672946597,2016-10-20 20:14:25.750,"POLYGON ((-107.5287338361309 29.55721688513892, -107.0139298361893 29.70310973428817, -105.2676320861431 31.31493353298379, -107.1332642609423 32.33289743729879, -109.2384116955764 31.73496062773561, -107.9890135645138 29.80627372880797, -107.5287338361309 29.55721688513892))",[nan],0,[nan],0,[nan],0,"[7595.0, 8132.0, 7753.0, 7267.0]",4,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016102020145937,31.92297172546387,-108.0454559326172,12255,-0.0015971762498034276,401.6467625442244,17.711839964196013,3.1070378085324526,2.2741924176194925,0.5235151989393401,-7.957967281341553,1.865449070930481,858.2255859375,12.329368591308596,1633860.21819363,5.8818967854970685,2016-10-20 20:14:59.370,"POLYGON ((-107.8836536288093 31.33039065028917, -107.4105461148873 31.64694552340704, -106.298247245263 33.85952769525941, -108.7143143390398 34.29057321640355, -110.6230833704122 32.99451016438758, -108.4706844918815 31.43503447415121, -107.8836536288093 31.33039065028917))",[nan],0,[6502.0],1,[nan],0,"[7100.0, 7688.0, 7082.0]",3,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016102107432638,22.079158782958984,84.70166778564453,12262,-0.0017919101416792906,399.7380800937817,47.94358166573802,12.19211067086465,1.5687785582564269,0.5615405316552241,0.365190327167511,-1.9666891098022456,966.4185180664062,18.097566604614254,68528.98278805593,0.2467043380370013,2016-10-21 07:43:26.380,"POLYGON ((84.28345719926482 22.15096493847975, 84.37410458892607 21.82688718905105, 85.53067192991227 20.69720218242897, 86.37021127000753 21.78129417864631, 86.02371697252958 23.08147606909836, 84.49193018416069 22.42395735142987, 84.28345719926482 22.15096493847975))",[nan],0,[nan],0,"[7517.0, 3418.0, 6691.0, 7964.0]",4,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016102107432776,22.17767333984375,84.67528533935547,12262,-0.002511985438388927,399.741725453598,54.97612552924326,14.742815884976435,1.48766023108392,0.5780478584792997,0.16240565478801727,-2.0221483707427983,977.0274047851562,21.215686798095703,254476.10136969216,0.9161139649308918,2016-10-21 07:43:27.760,"POLYGON ((84.24896462246065 22.20899783627572, 84.37568880512701 21.89378779239999, 85.65741761891488 20.87626878668596, 86.37858300561587 22.04125018412997, 85.88591283211488 23.30748512068663, 84.42696314475293 22.5020701383625, 84.24896462246065 22.20899783627572))",[nan],0,[nan],0,"[7517.0, 3418.0, 6691.0, 7964.0]",4,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016102109234573,24.35630798339844,56.51959228515625,12263,0.0008547633020902066,401.0418735949269,35.72350616749854,10.928570142473355,1.3040696841948518,0.5430578534808467,-0.3543364405632019,-0.06340444087982178,995.7001953125,24.217514038085927,196791.07391028642,0.7084478660770309,2016-10-21 09:23:45.730,"POLYGON ((56.48326089185151 24.17002753684989, 56.65181767971517 24.21098103362091, 57.23832804284023 24.73139652952317, 56.66599529394659 25.10129545927349, 55.98764384425947 24.93642191503027, 56.3405737151466 24.26200074446046, 56.48326089185151 24.17002753684989))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016102109234738,24.39118194580078,56.51838302612305,12263,-0.00044724775228754954,401.124945706411,28.550446278857105,8.847804893412727,1.2873227068383706,0.6006305991115279,-0.4301869571208954,-0.08604723960161209,1000.210693359375,22.953411102294922,192958.96918669136,0.6946522890720891,2016-10-21 09:23:47.380,"POLYGON ((56.47387620827713 24.18706423518309, 56.66027224233293 24.22864063222996, 57.31841890717509 24.78874911729724, 56.69786069431463 25.20746462008378, 55.94715911137487 25.03996638357093, 56.31916078227147 24.29112678860696, 56.47387620827713 24.18706423518309))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016102109234703,24.42974281311035,56.49787902832031,12263,-0.0010948176774928373,401.15670251705353,25.7817764771493,6.772953772953607,1.5186048872305526,0.5255078054249911,-0.4600163698196411,-0.012418583035469057,1002.0712280273438,24.04854393005371,177719.19042422785,0.6397890855272202,2016-10-21 09:23:47.030,"POLYGON ((56.49161279218491 24.2168674615943, 56.67176104597316 24.28840780287969, 57.22952674334849 24.95766858894251, 56.5231574735505 25.28118132027296, 55.79844577430983 24.99303623556705, 56.315924209753 24.29720291143916, 56.49161279218491 24.2168674615943))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
2016102109263036,33.32550811767578,53.6851692199707,12263,0.0014327883527659544,400.7744613212397,32.54856944164576,12.66706008454788,1.0250997808634783,0.5169887862321266,-1.390794038772583,-3.5879180431365967,844.5765380859375,8.989449501037598,1063196.3492200791,3.8275068571922852,2016-10-21 09:26:30.360,"POLYGON ((53.13983382183046 33.14648600834688, 53.49718025084356 32.85963233665195, 55.71713857672971 32.36032698622869, 55.88863726808799 34.01725153237481, 54.45780579773442 35.18570078646292, 53.17026326980936 33.56154950927346, 53.13983382183046 33.14648600834688))",[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0,[nan],0
