,Country,Plant,Capacity (MW),Status,Status 2016 (done by Data4Good),Status 2017 (done by Data4Good),Status 2018 (done by Data4Good),Status 2019 (done by Data4Good),Combustion technology,Coal type,Latitude,Longitude,Annual CO2 (million tonnes / annum),Total annual CO2 (million tonnes / annum),Annual CO2 emissions (millions of tonnes) in 2016,Annual CO2 emissions (millions of tonnes) in 2017,Annual CO2 emissions (millions of tonnes) in 2018,Annual CO2 emissions (millions of tonnes) in 2019
22,Australia,Collinsville (Shine Energy) power station,1 000,Announced,Not operating,Not operating,Not operating,Not operating,unknown,Bituminous,-20.5451,147.8046,4.183267722,0.0,,,,
28,Australia,Coolimba power station,150,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Sub-bit,-29.8167,115.2667,0.764927749,0.0,,,,
31,Australia,Dual Gas power station,300,Cancelled,Not operating,Not operating,Not operating,Not operating,IGCC,Lignite,-38.251999999999995,146.4163,1.2894026920000001,0.0,,,,
33,Australia,Energy Brix power station,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,-38.254,146.4137,0.196473218,0.0,,,,
37,Australia,Eraring power station,720,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-33.0622,151.5214,3.807381307,15.22952523,15.22952523,15.22952523,15.22952523,15.22952523
41,Australia,Galilee Basin Power Project,600,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,-21.1492,144.7992,2.549759163,0.0,,,,
43,Australia,Galilee Power project,450,Shelved,Not operating,Not operating,Not operating,Not operating,IGCC,unknown,-23.4732,146.5512,1.67297388,0.0,,,,
45,Australia,Gladstone power station,280,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-23.8507,151.2197,1.7175520119999999,10.30531207,10.30531207,10.30531207,10.30531207,10.30531207
51,Australia,Hazelwood (Sunset Power International) power station,660,Announced,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,-38.2718,146.3909,2.947744464,10.47857162,,,,
61,Australia,Kogan Creek power station,750,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,-26.9179,150.7507,3.372586412,3.372586412,3.372586412,3.372586412,3.372586412,3.372586412
62,Australia,Kwinana power station,120,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-32.1983,115.7752,0.7477653959999999,0.0,,,,
66,Australia,Liddell power station,500,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-32.3716,150.9784,2.644014796,10.57605918,10.57605918,10.57605918,10.57605918,10.57605918
70,Australia,Loy Yang A power station,560,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,-38.2524,146.5753,3.161637989,12.505407400000001,12.505407400000001,12.505407400000001,12.505407400000001,12.505407400000001
74,Australia,Loy Yang B power station,513,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,-38.2555,146.586,2.78043478,5.56086956,5.56086956,5.56086956,5.56086956,5.56086956
76,Australia,Millmerran power station,440,Operating,Operating,Operating,Operating,Operating,Supercritical,Sub-bit,-27.9607,151.2793,2.192680282,4.385360564,4.385360564,4.385360564,4.385360564,4.385360564
78,Australia,Moray power station,150,Cancelled,Not operating,Not operating,Operating,Operating,Subcritical,unknown,-22.0125,146.3836,0.773550409,0.0,,,0.0,0.0
79,Australia,Mount Piper power station,700,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-33.3581,150.032,3.5535558860000003,7.1071117720000005,7.1071117720000005,7.1071117720000005,7.1071117720000005,7.1071117720000005
81,Australia,Mount Piper power station,750,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Bituminous,-33.3586,150.0316,3.065987647,0.0,,,,
83,Australia,Muja power station,60,Retired,Operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-33.4459,116.3075,0.37388269799999996,6.817127855,6.817127855,,,
91,Australia,Munmorah power station,300,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,-33.2121,151.5422,1.7133215880000001,0.0,,,,
95,Australia,Northern Augusta power station,260,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-32.5425,137.7878,1.6201583569999998,0.0,,,,
97,Australia,Playford power station,60,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-32.5385,137.7822,0.37388269799999996,0.0,,,,
101,Australia,Redbank power station,151,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,WSTBituminous,-32.5805,151.0715,0.9262512629999999,0.0,,,,
102,Australia,SEAPED briquette and power plant,Unknown,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,-38.254,146.5743,,0.0,,,,
103,Australia,Stanwell power station,365,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,-23.5091,150.3178,2.039164829,8.156659316,8.156659316,8.156659316,8.156659316,8.156659316
107,Australia,Swanbank-B power station,125,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Sub-bit,-27.6605,152.8129,0.778922287,0.0,,,,
111,Australia,Tarong North power station,445,Operating,Operating,Operating,Operating,Operating,Supercritical,Sub-bit,-26.7773,151.9143,2.217597103,2.217597103,2.217597103,2.217597103,2.217597103,2.217597103
112,Australia,Tarong power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,-26.7837,151.9153,2.030569824,4.061139648,4.061139648,4.061139648,4.061139648,4.061139648
114,Australia,Vales Point-A power station (replacement),660,Announced,Not operating,Not operating,Not operating,Not operating,unknown,Sub-bit,-33.161,151.5453,2.80473508,6.9801990620000005,,,,
117,Australia,Wallerawang power station,500,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,-33.4023,150.0837,2.644014796,0.0,,,,
119,Australia,Wandoan Power Project,400,Cancelled,Not operating,Not operating,Not operating,Not operating,IGCC/CCS,unknown(CCS90),-26.1333,149.95,0.224705405,0.0,,,,
120,Australia,Worsley Refinery power station,34,Operating,Operating,Operating,Operating,Operating,Subcritical,unknown,-33.2352,116.0687,0.211866862,1.223498897,1.223498897,1.223498897,1.223498897,1.223498897
125,Australia,Yallourn-W power station,360,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,-38.1773,146.3442,2.19508009,9.024218146,9.024218146,9.024218146,9.024218146,9.024218146
130,Austria,Duernrohr power station,450,Retired,Not operating,Not operating,Not operating,Not operating,Supercritical,HARD,48.32611,15.923329999999998,2.299490735,2.01029733,,,,
132,Austria,Enns Power Station,800,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Bituminous,48.21309,14.475220000000002,3.3466141769999997,0.0,,,,
133,Austria,Mellach power station,246,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,46.908190000000005,15.49231,1.508992125,1.508992125,1.508992125,1.508992125,1.508992125,1.508992125
134,Austria,Riedersbach power station,55,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,48.03177,12.843119999999999,0.33737628799999997,0.0,,,,
136,Austria,St Andrae power station,68,Retired,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,46.75,14.816670000000002,0.440375158,0.0,,,,
138,Austria,Timelkam power station,66,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,48.01081,13.58911,0.404851546,0.0,,,,
139,Austria,Voitsberg power station,40,Retired,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,47.0475,15.160279999999998,0.259044211,0.0,,,,
142,Austria,Zeltweg power station,137,Retired,Not operating,Not operating,Not operating,Not operating,unknown,HARD,47.25,15.166670000000002,0.8310061329999999,0.0,,,,
143,Bangladesh,Banshkhali power station (Beximco),660,Shelved,Not operating,Not operating,Not operating,Not operating,unknown,unknown,22.025,91.955,2.80473508,0.0,,,,
144,Bangladesh,Banshkhali power station (S Alam),612,Construction,Not operating,Not operating,Not operating,Not operating,unknown,unknown,21.97084,91.88893,2.600754347,0.0,,,,
145,Bangladesh,Banshkhali power station (S Alam),612,Construction,Not operating,Not operating,Not operating,Not operating,unknown,unknown,21.97907,91.88894,2.600754347,0.0,,,,
146,Bangladesh,Barapukuria Coal Power Plant,125,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,25.55376,88.94863000000001,0.687443847,1.374887694,1.374887694,1.374887694,1.374887694,1.374887694
148,Bangladesh,Barapukuria Coal Power Plant,275,Operating,Not operating,Not operating,Operating,Operating,Subcritical,Bituminous,25.55344,88.95048,1.396039812,0.0,,,0.0,0.0
149,Bangladesh,Barisal power station,350,Construction,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,21.96104,90.06271,1.598829372,0.0,,,,
151,Bangladesh,Bhola power station (S Alam),217,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,22.6903,90.6525,1.106595477,0.0,,,,
152,Bangladesh,Boalkhali power station (Beximco),660,Shelved,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,21.55,91.95,2.6961962319999997,0.0,,,,
153,Bangladesh,Chittagong power station (Orion),283,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,22.3242,91.8622,1.443163686,0.0,,,,
154,Bangladesh,Daudkandi power station,660,Shelved,Not operating,Not operating,Not operating,Not operating,unknown,unknown,23.53333,90.71667,2.80473508,0.0,,,,
156,Bangladesh,Dighipara power station,1 000,Announced,Not operating,Not operating,Not operating,Not operating,Ultra-super,Bituminous,25.41667,89.08333,4.021381824,0.0,,,,
157,Bangladesh,Gaibandha Ashuganj power station,660,Shelved,Not operating,Not operating,Not operating,Not operating,unknown,Bituminous,25.2979,89.59399,2.760956696,0.0,,,,
159,Bangladesh,Gazaria power station (Orion),700,Shelved,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,23.61095,90.59335,2.8596020639999997,0.0,,,,
160,Bangladesh,Gazaria power station (RPCL),350,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,23.52401,90.6272,1.598829372,0.0,,,,
161,Bangladesh,Khulna power station (Orion),660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,22.57122,89.56621,2.740850353,0.0,,,,
162,Bangladesh,Maheshkhali power station (BPDB/TNB),660,Shelved,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,21.62911,91.9002,2.6961962319999997,0.0,,,,
164,Bangladesh,Maheshkhali power station (Huadian),660,Announced,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,21.63415,91.89849,2.6961962319999997,0.0,,,,
166,Bangladesh,Maheshkhali power station (KEPCO),660,Shelved,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,21.63295,91.90194,2.6961962319999997,0.0,,,,
168,Bangladesh,Maheshkhali power station (PowerChina),660,Shelved,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,21.62313,91.90369,2.6961962319999997,0.0,,,,
170,Bangladesh,Matarbari Kohelia power station,700,Announced,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,21.706870000000002,91.891,2.8596020639999997,0.0,,,,
171,Bangladesh,Matarbari power station,600,Permitted,Not operating,Not operating,Not operating,Not operating,Ultra-super,Sub-bit,21.70184,91.8834,2.451087484,0.0,,,,
175,Bangladesh,Mawa power station,635,Shelved,Not operating,Not operating,Not operating,Not operating,unknown,unknown,23.47093,90.27172,2.698495114,0.0,,,,
176,Bangladesh,Mirsarai power station (Hangzhou Jinjiang),660,Announced,Not operating,Not operating,Not operating,Not operating,unknown,unknown,22.75763,91.46954000000001,2.80473508,0.0,,,,
178,Bangladesh,Mirsarai power station,150,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,22.77167,91.575,0.764927749,0.0,,,,
180,Bangladesh,Munshiganj power station,400,Announced,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,23.54189,90.57146999999999,1.797464155,0.0,,,,
181,Bangladesh,Patuakhali power station (Ashuganj),660,Pre-permit,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,21.98667,90.24167,2.6961962319999997,0.0,,,,
185,Bangladesh,Patuakhali power station (RPCL/NORINCO),660,Pre-permit,Not operating,Not operating,Not operating,Not operating,unknown,unknown,22.02779,90.27767,2.80473508,0.0,,,,
187,Bangladesh,Payra power station,660,Construction,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,22.00197,90.30821,2.6961962319999997,0.0,,,,
189,Bangladesh,Pekua power station,650,Shelved,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,21.81381,91.93953,2.655344774,0.0,,,,
191,Bangladesh,Phulbari Coal Project (Asia Energy),1 000,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,25.94687,89.55324,4.249598605,0.0,,,,
198,Bangladesh,Rampal power station,660,Construction,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,22.59246,89.55643,2.740850353,0.0,,,,
202,Bangladesh,Sena Kalyan Sangstha power station,660,Announced,Not operating,Not operating,Not operating,Not operating,Ultra-super,unknown,21.989,90.2792,2.6961962319999997,0.0,,,,
204,Belarus,Lelchitsy Power Station,400,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,51.78944,28.32139,1.965162976,0.0,,,,
205,Belarus,Zelwa Power Station,1 000,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Bituminous,53.15,24.8167,4.183267722,0.0,,,,
206,Belgium,Amercoeur power station,125,Retired,Not operating,Not operating,Not operating,Not operating,unknown,HARD,50.431000000000004,4.3955,0.758217275,0.0,,,,
208,Belgium,Antwerp Power Station,1 100,Cancelled,Operating,Operating,Operating,Operating,unknown,Bituminous,51.21922,4.402882,4.6015944939999995,4.6015944939999995,4.6015944939999995,4.6015944939999995,4.6015944939999995,4.6015944939999995
209,Belgium,Arwirs power station,80,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,unknown,50.5851,5.417999999999999,0.498510264,0.0,,,,
211,Belgium,Awirs power station,125,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,HARD,50.586000000000006,5.422999999999999,0.766764291,0.0,,,,
212,Belgium,Farciennes power station,92,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,HARD,50.42,4.556,0.564338518,0.0,,,,
214,Belgium,Genk-Langerlo power station,280,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,50.94032,5.4918059999999995,1.7175520119999999,0.0,,,,
216,Belgium,Mol power station,124,Retired,Not operating,Not operating,Not operating,Not operating,unknown,HARD,51.2234,5.099,0.752151536,0.0,,,,
218,Belgium,Monceau-Sur-Sambre power station,50,Retired,Not operating,Not operating,Not operating,Not operating,unknown,HARD,50.4034,4.3844,0.30328691,0.0,,,,
221,Belgium,Ruien power station,130,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,50.78342,3.488385,0.797434863,0.0,,,,
224,Bosnia & Herzegovina,Banovici Power Station,350,Permitted,Not operating,Not operating,Not operating,Not operating,Supercritical,Lignite,44.4,18.5333,1.680351369,0.0,,,,
225,Bosnia & Herzegovina,Bugojno Thermal Power Project,300,Announced,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,44.05,17.45,1.473872232,0.0,,,,
227,Bosnia & Herzegovina,Gacko,350,Announced,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,43.172259999999994,18.512729999999998,1.719517604,0.934706745,,,,
228,Bosnia & Herzegovina,Gacko Thermal Power Plant,300,Operating,Operating,Operating,Operating,Operating,Supercritical,Lignite,43.17214,18.51156,1.76764235,1.76764235,1.76764235,1.76764235,1.76764235,1.76764235
229,Bosnia & Herzegovina,Glinica Power Station,500,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,43.333,17.8,2.233139746,0.0,,,,
230,Bosnia & Herzegovina,Kakanj,300,Permitted,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,44.08972,18.11444,1.473872232,0.0,,,,
232,Bosnia & Herzegovina,Kakanj Thermal Power Plant,110,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,44.08963,18.113870000000002,0.720401799,2.9303078080000002,2.9303078080000002,2.9303078080000002,2.9303078080000002,2.9303078080000002
235,Bosnia & Herzegovina,Kamengrad Thermal Power Plant,215,Announced,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,44.76667,16.66667,1.152300109,0.0,,,,
237,Bosnia & Herzegovina,Kongora Thermal Power Plant,275,Shelved,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,43.64611,17.33139,1.490486481,0.0,,,,
239,Bosnia & Herzegovina,Miljevina power station,110,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,43.5183,18.65209,0.589548893,0.0,,,,
241,Bosnia & Herzegovina,Stanari,300,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,44.75929,17.82321,1.490486481,1.490486481,1.490486481,1.490486481,1.490486481,1.490486481
242,Bosnia & Herzegovina,Tuzla,450,Permitted,Not operating,Not operating,Not operating,Not operating,Supercritical,Lignite,44.52,18.60611,1.964047055,0.0,,,,
244,Bosnia & Herzegovina,Tuzla Thermal Power Plant,100,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,44.52104,18.60644,0.654910726,4.7350045519999995,4.7350045519999995,4.7350045519999995,4.7350045519999995,4.7350045519999995
248,Bosnia & Herzegovina,Ugljevik 3 power station,300,Pre-permit,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,44.68345,18.96852,1.473872232,0.0,,,,
250,Bosnia & Herzegovina,Ugljevik Thermal Power Plant,300,Operating,Operating,Operating,Operating,Operating,Supercritical,Lignite,44.682190000000006,18.967370000000003,1.76764235,1.76764235,1.76764235,1.76764235,1.76764235,1.76764235
251,Botswana,CIC Coal to Hydrocarbons Project,,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-23.6093,26.77495,0.0,0.0,,,,
253,Botswana,Mabesekwa Export Independent Power Plant,150,Permitted,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-21.1736,27.5125,0.773550409,0.0,,,,
265,Botswana,Mmamantswe Coal Project,600,Shelved,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-24.4021,26.573179999999997,2.549759163,0.0,,,,
266,Botswana,Mookane Domestic Power Project,150,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-23.6875,26.66139,0.773550409,0.0,,,,
268,Botswana,Morupule A Power Station,33,Construction,Not operating,Not operating,Not operating,Operating,Subcritical,Bituminous,-22.5195,27.037,0.167524778,0.0,,,,0.0
272,Botswana,Morupule B power station,150,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-22.5223,27.04883,0.761476261,3.045905045,3.045905045,3.045905045,3.045905045,3.045905045
280,Botswana,Sechaba power station,150,Shelved,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-22.55,27.133329999999997,0.773550409,0.0,,,,
282,Botswana,Sese Integrated Power Project,225,Permitted,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-21.3788,27.440520000000003,1.1473916229999999,0.0,,,,
285,Brazil,Açu power project,700,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-22.9083,-43.1964,2.9747190239999997,0.0,,,,
288,Brazil,Barcarena Alunorte power station,32,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,-1.5699299999999998,-48.7545,0.178776095,0.35755218899999996,0.35755218899999996,0.35755218899999996,0.35755218899999996,0.35755218899999996
290,Brazil,Barcarena Vale power station,300,Shelved,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-1.50583,-48.6258,1.41817575,0.0,,,,
292,Brazil,Charqueadas power station,72,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-29.9513,-51.6224,0.44865923700000004,0.0,,,,
293,Brazil,CTSul power station,650,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-29.5151,-51.9933,2.762239094,0.0,,,,
294,Brazil,Jacuí New power station,350,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-29.9667,-51.6333,1.654538375,0.0,,,,
295,Brazil,Jorge Lacerda power station,50,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-28.4521,-48.9685,0.306705716,5.02658941,5.02658941,5.02658941,5.02658941,5.02658941
302,Brazil,Maranhão São Luís power station,350,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-2.528,-44.3044,1.6360954630000002,0.0,,,,
303,Brazil,MPX Itaqui power project,360,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,-2.58731,-44.3384,1.7018109000000001,1.7018109000000001,1.7018109000000001,1.7018109000000001,1.7018109000000001,1.7018109000000001
304,Brazil,Pampa power station,345,Operating,Not operating,Not operating,Not operating,Operating,Unknown,Unknown,-31.5494,-53.683,1.612722671,0.0,,,,0.0
306,Brazil,Pedras Altas power station,300,Permitted,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,-31.7329,-53.5858,1.40236754,0.0,,,,
308,Brazil,Porto do Pecém power station,360,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,-3.5827,-38.875,1.7018109000000001,5.129068963,5.129068963,5.129068963,5.129068963,5.129068963
311,Brazil,President Medici (Candiota) power station,350,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,-31.5514,-53.6828,1.7767779430000001,1.7767779430000001,1.7767779430000001,1.7767779430000001,1.7767779430000001,1.7767779430000001
312,Brazil,Presidente Médici Candiota power station,63,Retired,Operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,-31.5514,-53.683,0.38644920299999996,2.73581499,2.73581499,,,
316,Brazil,Sao Luis Alumar power station,44,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,-2.5283,-44.3044,0.24581713,0.49163426,0.49163426,0.49163426,0.49163426,0.49163426
318,Brazil,Seival power station,300,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-31.4544,-53.7464,1.41817575,0.0,,,,
320,Brazil,Sul power station,364,Shelved,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,-31.6,-53.7333,1.72071991,0.0,,,,
322,Brazil,Usitesc power station,340,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,-28.5167,-49.4667,1.5821784540000001,0.0,,,,
323,Brunei,Pulau Muara Besar power station,55,Operating,Not operating,Not operating,Not operating,Operating,Unknown,Unknown,5.000576000000001,115.12299999999999,0.280473508,0.0,,,,0.0
327,Bulgaria,AES Galabovo,335,Operating,Operating,Operating,Operating,Operating,unknown,Lignite,42.1573,25.9084,1.645823993,3.291647986,3.291647986,3.291647986,3.291647986,3.291647986
329,Bulgaria,Bobov Dol power station,210,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,42.285379999999996,23.03416,1.375312525,4.125937575,4.125937575,4.125937575,4.125937575,4.125937575
332,Bulgaria,Bobov Dol Power Station,200,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,42.28582,23.03283,1.015301682,0.0,,,,
334,Bulgaria,Brikel power station,60,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,42.15456,25.90681,0.392946436,1.5717857430000002,1.5717857430000002,1.5717857430000002,1.5717857430000002,1.5717857430000002
340,Bulgaria,Deven,53,Operating,Not operating,Operating,Operating,Operating,unknown,Bituminous,43.19635,27.63268,0.26605582699999997,0.665445644,,0.665445644,0.665445644,0.665445644
342,Bulgaria,Lom Power Station,400,Cancelled,Operating,Operating,Operating,Operating,unknown,Lignite,43.7825,23.2175,1.965162976,1.965162976,1.965162976,1.965162976,1.965162976,1.965162976
343,Bulgaria,Maritsa 3 power station,120,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,42.05194,25.62334,0.785892872,0.785892872,0.785892872,0.785892872,0.785892872,0.785892872
344,Bulgaria,Maritsa Itzok-2 power station,177,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,42.25405,26.13401,1.159191986,10.43927698,10.43927698,10.43927698,10.43927698,10.43927698
352,Bulgaria,Maritsa Itzok-3 power station,227,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,42.14502,26.00301,1.486647349,5.946589396,5.946589396,5.946589396,5.946589396,5.946589396
356,Bulgaria,Maritsa Iztok-2 power station,280,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,Lignite,42.255,26.135,1.500669909,0.0,,,,
358,Bulgaria,Maritsa Iztok-3 power station,700,Cancelled,Operating,Operating,Operating,Operating,Supercritical,Lignite,42.1444,26.0033,3.0551843080000003,3.0551843080000003,3.0551843080000003,3.0551843080000003,3.0551843080000003,3.0551843080000003
360,Bulgaria,Republika power station,105,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,42.60712,23.0787,0.6876562629999999,0.6876562629999999,0.6876562629999999,0.6876562629999999,0.6876562629999999,0.6876562629999999
361,Bulgaria,Ruse Iztok power station,30,Mothballed,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,43.86665,26.01,0.152295252,1.410846295,,,,
367,Bulgaria,Sliven power station,30,Operating,Operating,Operating,Operating,Operating,unknown,Lignite,42.654759999999996,26.32585,0.194283158,0.194283158,0.194283158,0.194283158,0.194283158,0.194283158
369,Bulgaria,Svilosa power station,60,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,43.64227,25.30501,0.36804686,0.0,,,,
371,Bulgaria,Varna power station,210,Retired,Not operating,Not operating,Not operating,Not operating,unknown,HARD,43.19477,27.76547,1.273805021,0.0,,,,
377,Bulgaria,Vidin Works power station,60,Operating,Operating,Operating,Operating,Operating,Subcritical,ANTH,43.94836,22.8509,0.382441927,0.764883854,0.764883854,0.764883854,0.764883854,0.764883854
